date,temperature,weekly_sales,,,,,,
6/11/2010,80.43,16637.62,,,,,,
4/16/2010,66.32,17596.96,,,,,,
3/19/2010,54.58,22136.64,,,,,Row Labels,Sum of weekly_sales
5/14/2010,74.78,18926.74,,,,,Feb,131963.08
5/28/2010,80.44,15580.43,,,,,5-Feb,24924.5
2/5/2010,42.31,24924.5,,,,,12-Feb,46039.49
3/12/2010,57.79,21043.39,,,,,19-Feb,41595.55
6/4/2010,80.69,17558.09,,,,,26-Feb,19403.54
2/19/2010,39.93,41595.55,,,,,Mar,91237.14
4/9/2010,65.86,42960.91,,,,,5-Mar,21827.9
5/7/2010,72.55,17413.94,,,,,12-Mar,21043.39
2/26/2010,46.63,19403.54,,,,,19-Mar,22136.64
4/23/2010,64.84,16145.35,,,,,26-Mar,26229.21
3/26/2010,51.45,26229.21,,,,,Apr,150516.76
3/5/2010,46.5,21827.9,,,,,2-Apr,57258.43
4/2/2010,62.27,57258.43,,,,,9-Apr,42960.91
5/21/2010,76.44,14773.04,,,,,16-Apr,17596.96
4/30/2010,67.41,16555.11,,,,,23-Apr,16145.35
2/12/2010,38.51,46039.49,,,,,30-Apr,16555.11
,,,,,,,May,66694.15
,,,,,,,7-May,17413.94
,,,,,,,14-May,18926.74
,,,,,,,21-May,14773.04
,,,,,,,28-May,15580.43
,,,,,,,Jun,34195.71
,,,,,,,4-Jun,17558.09
,,,,,,,11-Jun,16637.62
,,,,,,,Grand Total,474606.84
